application_name,Application Name,Application Short Name,Application Filing Date,Company Name,Commodity,File Name,ESA Folder URL,Document Number,Data ID,PDF Download URL,Application Type (NEB Act),Pipeline Location,Hearing Order,Consultant Name,Pipeline Status,Regulatory Instrument(s),Application URL,Decision URL,ESA Section(s),ESA Section(s) Index
2020-10-22 - Application for the NGTL West Path Delivery 2023 Project (GH-002-2020),Application for the NGTL West Path Delivery 2023 Project,NGTL West Path Delivery 2023,10/22/2020,NOVA Gas Transmission Ltd.,Gas,C09063-13 NGTL WPD 2023_ESA_Part 4_Appendices F to I - A7J7D1,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3974306,A7J7D1,3974108,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3974108,Large Projects (over 40 km),,GH-002-2020,Stantec Consulting Ltd,Applied,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3968941,,"APPENDIX F Wildlife and Wildlife Habitat, APPENDIX G Aquatic Resources, APPENDIX H Greenhouse Gases Technical Data Report, APPENDIX I Rights of Indigenous Peoples Technical Data Report",
2020-10-22 - Application for the NGTL West Path Delivery 2023 Project (GH-002-2020),Application for the NGTL West Path Delivery 2023 Project,NGTL West Path Delivery 2023,10/22/2020,NOVA Gas Transmission Ltd.,Gas,C09063-12 NGTL WPD 2023_ESA_Part 3_Appendices A to E - A7J7D0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3974306,A7J7D0,3974307,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3974307,Large Projects (over 40 km),,GH-002-2020,Stantec Consulting Ltd,Applied,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3968941,,"APPENDIX A Environmental Protection Plans, APPENDIX B Environmental Alignment Sheets, APPENDIX C Decommissioning and Abandonment, APPENDIX D Post-Construction Monitoring, APPENDIX E Soil Capability",
2020-10-22 - Application for the NGTL West Path Delivery 2023 Project (GH-002-2020),Application for the NGTL West Path Delivery 2023 Project,NGTL West Path Delivery 2023,10/22/2020,NOVA Gas Transmission Ltd.,Gas,C09063-10 NGTL WPD 2023_ESA_Part 1_Sections 1 to 6 - A7J7C8,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3974306,A7J7C8,3974826,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3974826,Large Projects (over 40 km),,GH-002-2020,Stantec Consulting Ltd,Applied,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3968941,,"1.0 INTRODUCTION, 2.0 PROJECT DESCRIPTION, 3.0 ENGAGEMENT, 4.0 ASSESSMENT METHODS, 5.0 ASSESSMENT OF EFFECTS ON SOIL CAPABILITY, 6.0 ASSESSMENT OF EFFECTS ON VEGETATION AND WETLANDS",
2020-10-22 - Application for the NGTL West Path Delivery 2023 Project (GH-002-2020),Application for the NGTL West Path Delivery 2023 Project,NGTL West Path Delivery 2023,10/22/2020,NOVA Gas Transmission Ltd.,Gas,C09063-11 NGTL WPD 2023_ESA_Part 2_Sections 7 to 18 - A7J7C9,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3974306,A7J7C9,4003703,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4003703,Large Projects (over 40 km),,GH-002-2020,Stantec Consulting Ltd,Applied,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3968941,,"7.0 ASSESSMENT OF EFFECTS ON WILDLIFE AND WILDLIFE HABITAT, 8.0 ASSESSMENT OF EFFECTS ON AQUATIC RESOURCES, 9.0 ASSESSMENT OF GREENHOUSE GAS EMISSIONS, 10.0 ASSESSMENT OF EFFECTS ON HUMAN OCCUPANCY AND RESOURCE USE, 11.0 ASSESSMENT OF EFFECTS ON TRADITIONAL LAND AND RESOURCE USE, 12.0 ASSESSMENT OF EFFECTS ON HERITAGE RESOURCES, 13.0 ASSESSMENT OF EFFECTS ON SOCIO-ECONOMIC VALUED COMPONENTS, 14.0 RIGHTS OF INDIGENOUS PEOPLES, 15.0 ASSESSMENT OF EFFECTS OF THE ENVIRONMENT ON THE PROJECT, 16.0 ACCIDENTS AND MALFUNCTIONS 17.0 CONCLUSIONS, 18.0 REFERENCES",
2017-12-21 - Application for the Westridge Delivery Line Relocation (MH-048-2018),Application for the Westridge Delivery Line Relocation,Westridge Delivery Line Relocation,12/21/2017,Trans Mountain Pipeline ULC,Oil,A88837-5 s.58 ESA - A5Y6S2,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3408534,A5Y6S2,3410189,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3410189,Large Projects (over 40 km),,MH-048-2018,N/A,Approved,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3412396,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3926252,Environmental and Socio-Economic Assessment,
2020-06-01 - Application for the NGTL West Path Delivery 2022 Project,Application for the NGTL West Path Delivery 2022 Project,NGTL West Path Delivery 2022,6/1/2020,NOVA Gas Transmission Ltd.,Gas,C06605-8 Attachment 17 - Environmental Assessment Summary - A7G0Q1,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3970826,A7G0Q1,3931508,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3931508,CERA 183 Pipeline Facilities Certificate,,N/A,Stantec Consulting Ltd,Approved,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3930580,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4091795,Environmental Assessment Summary,
2020-06-01 - Application for the NGTL West Path Delivery 2022 Project,Application for the NGTL West Path Delivery 2022 Project,NGTL West Path Delivery 2022,6/1/2020,NOVA Gas Transmission Ltd.,Gas,C08618-3 Attachment CER 1.4-1_Part 1 of 6_ESA_Appendix A - A7I8X1,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3970826,A7I8X1,3969837,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3969837,CERA 183 Pipeline Facilities Certificate,,N/A,Stantec Consulting Ltd,Approved,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3930580,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4091795,APPENDIX A Environmental Protection Plans,
2020-06-01 - Application for the NGTL West Path Delivery 2022 Project,Application for the NGTL West Path Delivery 2022 Project,NGTL West Path Delivery 2022,6/1/2020,NOVA Gas Transmission Ltd.,Gas,C08618-4 Attachment CER 1.4-1_Part 2 of 6_ESA_Appendix B - A7I8X2,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3970826,A7I8X2,3969838,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3969838,CERA 183 Pipeline Facilities Certificate,,N/A,Stantec Consulting Ltd,Approved,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3930580,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4091795,APPENDIX B Environmental Alignment Sheets and Environmental Site Information Sheets,
2020-06-01 - Application for the NGTL West Path Delivery 2022 Project,Application for the NGTL West Path Delivery 2022 Project,NGTL West Path Delivery 2022,6/1/2020,NOVA Gas Transmission Ltd.,Gas,C08618-5 Attachment CER 1.4-1_Part 3 of 6_ESA_Appendix C to F - A7I8X3,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3970826,A7I8X3,3970827,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3970827,CERA 183 Pipeline Facilities Certificate,,N/A,Stantec Consulting Ltd,Approved,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3930580,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4091795,"APPENDIX C Decommissioning and Abandonment, APPENDIX D Post-Construction Monitoring, APPENDIX E Soil Capability, APPENDIX F Species at Risk and Species of Management Concern",
2020-06-01 - Application for the NGTL West Path Delivery 2022 Project,Application for the NGTL West Path Delivery 2022 Project,NGTL West Path Delivery 2022,6/1/2020,NOVA Gas Transmission Ltd.,Gas,C08618-6 Attachment CER 1.4-1_Part 4 of 6_ESA_Appendix G to J - A7I8X4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3970826,A7I8X4,3970828,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3970828,CERA 183 Pipeline Facilities Certificate,,N/A,Stantec Consulting Ltd,Approved,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3930580,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4091795,"APPENDIX G Aquatic Resources, APPENDIX H Greenhouse Gases Technical Data Report, APPENDIX I Human Occupancy and Resource Use Technical Data Report, APPENDIX J Rights of Indigenous Peoples Technical Data Report",
2020-06-01 - Application for the NGTL West Path Delivery 2022 Project,Application for the NGTL West Path Delivery 2022 Project,NGTL West Path Delivery 2022,6/1/2020,NOVA Gas Transmission Ltd.,Gas,C08618-7 Attachment CER 1.4-1_Part 5 of 6_ESA_Section 1-6 - A7I8X5,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3970826,A7I8X5,3970829,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3970829,CERA 183 Pipeline Facilities Certificate,,N/A,Stantec Consulting Ltd,Approved,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3930580,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4091795,"1.0 INTRODUCTION, 2.0 PROJECT DESCRIPTION, 3.0 ENGAGEMENT, 4.0 ASSESSMENT METHODS, 5.0 ASSESSMENT OF EFFECTS ON SOIL CAPABILITY, 6.0 ASSESSMENT OF EFFECTS ON VEGETATION AND WETLANDS",
2020-06-01 - Application for the NGTL West Path Delivery 2022 Project,Application for the NGTL West Path Delivery 2022 Project,NGTL West Path Delivery 2022,6/1/2020,NOVA Gas Transmission Ltd.,Gas,C08618-8 Attachment CER 1.4-1_Part 6 of 6_ESA_Section 7-18 - A7I8X6,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3970826,A7I8X6,3970830,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3970830,CERA 183 Pipeline Facilities Certificate,,N/A,Stantec Consulting Ltd,Approved,,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/3930580,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4091795,"7.0 ASSESSMENT OF EFFECTS ON WILDLIFE AND WILDLIFE HABITAT, 8.0 ASSESSMENT OF EFFECTS ON AQUATIC RESOURCES, 9.0 ASSESSMENT OF GREENHOUSE GAS EMISSIONS, 10.0 ASSESSMENT OF EFFECTS ON HUMAN OCCUPANCY AND RESOURCE USE, 11.0 ASSESSMENT OF EFFECTS ON TRADITIONAL LAND AND RESOURCE USE, 12.0 ASSESSMENT OF EFFECTS ON HERITAGE RESOURCES, 13.0 ASSESSMENT OF EFFECTS ON SOCIO-ECONOMIC VALUED COMPONENTS, 14.0 RIGHTS OF INDIGENOUS PEOPLES, 15.0 ASSESSMENT OF EFFECTS OF THE ENVIRONMENT ON THE PROJECT, 16.0 ACCIDENTS AND MALFUNCTIONS 17.0 CONCLUSIONS, 18.0 REFERENCES",
